"year","wage"
1980,655.937571359166
1981,679.128633919768
1982,702.5047255331
1983,727.331488836603
1984,755.222311995159
1985,757.282826609985
1986,763.394284471615
1987,763.313474242169
1988,776.892544682879
1989,785.65648861261
1990,820.198269782646
1991,857.690933083861
1992,895.928752949447
1993,943.846997521203
1994,987.700713379953
1995,1031.82604003622
1996,1115.51278223593
1997,1203.84125280947
1998,1195.52249442188
1999,1182.932095573
2000,1237.87688977923
2001,1300.98513617066
2002,1359.93751388819
2003,1403.22802420247
2004,1445.09926608899
2005,1496.35032254644
2006,1545.93243118539
2007,1597.29394737841
2008,1659.30920251321
2009,1725.58925830443
2010,1936
2011,1959
2012,2052
2013,2186
2014,2377
2015,2487
2016,2657
2017,2879
2018,3087
2019,3224
2020,2933
2021,3037
2022,3212
